rank,state,health_care,education,economy,infrastructure,opportunity,fiscal_stability,crime_corrections,natural_environment
1, Washington,8,4,4,3,25,6,19,15
2, Minnesota,16,17,15,9,2,21,15,10
3, Utah,11,10,1,5,30,5,8,47
4, New Hampshire,13,13,11,34,3,33,1,2
5, Idaho,24,29,3,10,24,4,10,12
6, Nebraska,28,9,20,6,10,17,31,6
7, Virginia,12,12,13,39,8,18,9,19
8, Wisconsin,15,8,26,24,9,9,25,17
9, Massachusetts,2,2,5,42,36,43,4,4
10, Florida,25,3,8,20,33,8,26,18
11, Vermont,18,15,25,12,17,37,3,9
12, Iowa,20,18,27,19,1,23,14,20
13, North Carolina,30,7,17,22,28,7,20,27
14, North Dakota,27,25,32,4,23,16,18,8
15, South Dakota,29,19,30,14,27,2,35,3
16, Colorado,10,5,2,15,41,45,41,23
17, Maryland,6,14,35,38,15,29,22,11
18, Georgia,43,26,12,11,13,11,29,25
19, New Jersey,4,1,33,41,19,49,5,33
20, Connecticut,3,6,22,46,45,30,6,28
21, New York,7,16,43,30,46,20,11,5
22, Oregon,17,35,14,2,31,13,40,42
23, Delaware,14,24,24,25,14,12,39,45
24, California,5,20,10,31,50,36,28,35
25, Hawaii,1,27,46,33,34,46,12,1
26, Kansas,41,23,31,7,16,39,27,16
27, Maine,26,28,36,37,29,26,2,14
28, Missouri,42,30,23,27,4,15,45,21
29, Tennessee,40,33,16,17,21,3,42,39
30, Illinois,23,11,39,26,12,50,16,43
31, Texas,31,34,9,16,39,10,37,40
32, Indiana,32,22,21,32,7,32,24,48
33, Montana,36,32,19,13,35,19,34,24
34, Rhode Island,9,39,28,49,32,44,7,7
35, Wyoming,38,21,45,8,42,34,21,13
36, Ohio,37,31,34,29,6,24,32,44
37, Nevada,39,40,6,1,47,27,36,50
38, Michigan,35,38,29,35,5,38,30,32
39, Arizona,21,46,7,23,40,40,38,41
40, Pennsylvania,19,37,42,44,11,47,17,38
41, Kentucky,44,36,40,18,20,48,13,29
42, South Carolina,34,44,18,36,38,31,46,26
43, Oklahoma,48,42,37,21,26,25,44,34
44, Arkansas,49,41,41,43,22,14,48,30
45, Alaska,22,49,50,40,43,1,49,46
46, Alabama,45,47,38,28,37,22,43,37
47, West Virginia,47,45,48,50,18,28,23,36
48, New Mexico,33,50,44,45,49,35,47,31
49, Mississippi,50,43,49,48,44,41,33,22
50, Louisiana,46,48,47,47,48,42,50,49
